,transaction_id,items,basket_size,basket_total
0,0,"['citrus_fruit', 'margarine', 'ready_soups', 'semi-finished_bread']",4,42.14
1,1,"['coffee', 'tropical_fruit', 'yogurt']",3,28.06
2,2,"['cream_cheese', 'meat_spreads', 'pip_fruit', 'yogurt']",4,32.83
3,3,"['condensed_milk', 'long_life_bakery_product', 'other_vegetables', 'whole_milk']",4,42.09
4,4,"['cereals', 'whole_milk']",2,19.36
5,5,"['frankfurter', 'rolls/buns', 'soda']",3,13.759999999999998
6,6,"['chicken', 'tropical_fruit']",2,27.15
7,7,"['butter', 'fruit/vegetable_juice', 'newspapers', 'sugar']",4,41.37
8,8,"['butter_milk', 'pastry']",2,25.24
9,9,"['beverages', 'bottled_water', 'specialty_bar', 'yogurt']",4,23.27
10,10,"['beef', 'detergent', 'grapes']",3,24.44
11,11,"['pastry', 'soda']",2,13.219999999999999
12,12,"['dessert', 'other_vegetables', 'root_vegetables', 'whole_milk']",4,42.019999999999996
13,13,"['citrus_fruit', 'newspapers', 'zwieback']",3,23.23
14,14,"['berries', 'yogurt']",2,18.849999999999998
15,15,"['bottled_water', 'pastry']",2,19.06
16,16,"['curd', 'pastry', 'whole_milk', 'yogurt']",4,39.01
17,17,"['pastry', 'rolls/buns', 'sugar']",3,34.91
18,18,"['pastry', 'rolls/buns', 'soda']",3,21.759999999999998
19,19,"['coffee', 'curd_cheese']",2,4.25
20,20,"['meat_spreads', 'soda', 'whole_milk']",3,16.22
21,21,"['other_vegetables', 'rolls/buns', 'sugar', 'whole_milk']",4,45.39
22,22,"['coffee', 'frozen_meals']",2,9.27
23,23,"['frozen_vegetables', 'hard_cheese', 'onions', 'root_vegetables']",4,26.06
24,24,"['coffee', 'newspapers']",2,7.51
25,25,"['berries', 'yogurt']",2,18.849999999999998
26,26,"['candles', 'fruit/vegetable_juice', 'salty_snack']",3,34.71
27,27,"['butter_milk', 'citrus_fruit', 'cream_cheese', 'yogurt']",4,48.61
28,28,"['grapes', 'photo/film']",2,16.330000000000002
29,29,"['brown_bread', 'whole_milk', 'yogurt']",3,36.54
30,30,"['citrus_fruit', 'tropical_fruit']",2,26.37
31,31,"['misc._beverages', 'soda']",2,13.6
32,32,"['bottled_water', 'frankfurter', 'rolls/buns']",3,19.599999999999998
